Size,Length_STD,Length_ADV,CR_STD,CR_ADV
46, 4820780, 3374546, 1.5907085575363322, 2.272440796480475
47, 4798060, 3358642, 1.5982409557196033, 2.283201365313719
48, 4773200, 3341240, 1.6065649878488226, 2.2950928397840324
49, 4750520, 3325364, 1.6142350732130377, 2.306050104590054
50, 4731440, 3312008, 1.620744635882522, 2.3153494798321743
51, 4711860, 3298302, 1.6274795940456634, 2.3249708486366623
52, 4694520, 3286164, 1.6334909639324149, 2.3335585199034496
53, 4679000, 3275300, 1.6389091686257748, 2.3412988123225356
54, 4660680, 3262476, 1.6453513221246685, 2.3505018887495264
55, 4645220, 3251654, 1.6508273020438213, 2.358324717205459
56, 4630080, 3241056, 1.6562253783951897, 2.366036254850271
57, 4613000, 3229100, 1.6623576848038153, 2.374796692576879
58, 4597580, 3218306, 1.6679331300379765, 2.3827616143399664
